"";"Category";"Description";"Nutrient_Bank_Number";"Carbohydrate";"Choline";"Niacin";"Protein";"Riboflavin";"Selenium";"Sugar_Total";"Thiamin";"Water";"Fat__Monosaturated_Fat";"Fat__Polysaturated_Fat";"Fat__Saturated_Fat";"Fat__Total_Lipid";"Minerals__Calcium";"Minerals__Copper";"Minerals__Iron";"Minerals__Magnesium";"Minerals__Phosphorus";"Minerals__Potassium";"Minerals__Sodium";"Minerals__Zinc";"Vitamins__Vitamin_A";"Vitamins__Vitamin_B6";"Vitamins__Vitamin_E";"Vitamins__Vitamin_K"
"1";"Beef steak";"Beef steak, braised, NS as to fat eaten";21105110;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"2";"Beef steak";"Beef steak, braised, lean and fat eaten";21105120;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"3";"Beef";"Beef, oxtails, cooked";21301000;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"4";"Beef";"Beef, shortribs, cooked, lean and fat eaten";21304110;0;81,5;2,432;21,39;0,149;20,6;0;0,05;35,43;18,723;1,517;17,652;41,63;12;0,098;2,29;15;161;222;372;4,84;0;0,218;0,29;2,4
"5";"Beef";"Beef, pot roast, braised or boiled, NS as to fat eaten";21407000;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"6";"Beef";"Beef, pot roast, braised or boiled, lean only eaten";21407120;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"7";"Beef";"Beef, stew meat, cooked, NS as to fat eaten";21410000;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"8";"Beef";"Beef, stew meat, cooked, lean and fat eaten";21410110;0;129,7;3,62;34,05;0,238;32,2;0;0,069;54,23;4,115;0,417;3,749;10,05;5;0,117;3,13;24;213;316;367;4,3;0;0,268;0,17;1,7
"9";"Beef";"Beef, stew meat, cooked, lean only eaten";21410120;0;117,3;2,648;30,8;0,278;26,5;0;0,079;54,35;5,682;0,436;5,117;13,19;13;0,147;3,65;23;233;261;393;10,18;0;0,288;0,14;1,7
"10";"Salt pork";"Salt pork, cooked";22621000;0;40,7;1,183;2,68;0,076;4,5;0;0,08;9,98;36,64;10,744;31,339;81,93;11;0,034;0,17;3;41;47;2039;0,35;9;0,073;0,34;0
"11";"Fat back";"Fat back, cooked";22621100;0;40,7;1,183;2,68;0,076;4,5;0;0,08;9,98;36,64;10,744;31,339;81,93;11;0,034;0,17;3;41;47;2039;0,35;9;0,073;0,34;0
"12";"Pork skin rinds";"Pork skin rinds";22709010;0;164,5;1,549;61,3;0,283;41;0;0,099;1,8;14,78;3,64;11,37;31,3;30;0,094;0,88;11;85;127;1818;0,56;12;0,023;0,53;0
"13";"Pork skin";"Pork skin, boiled";22709110;0;32,6;3,094;7;0,198;11,4;0;0,208;26,04;28,746;11,442;23,657;65,55;22;0,089;0,46;9;108;124;378;0,74;24;0,19;0;0
"14";"Veal cutlet or steak";"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten";23204010;0;131,1;11,211;33,67;0,347;14,3;0;0,064;56,44;2,772;0,521;2,821;7,28;7;0,1;1,09;30;262;401;393;3,56;0;0,421;0,45;6
"15";"Veal cutlet or steak";"Veal cutlet or steak, NS as to cooking method, lean and fat eaten";23204020;0;140;10,472;35,86;0,347;15,3;0;0,06;55,03;2,34;0,466;2,509;6,28;8;0,139;1,31;29;247;380;389;3,93;0;0,357;0,49;6,9
"16";"Venison/deer";"Venison/deer, NFS";23321000;0;133,4;7,389;36,08;0,653;17,6;0;0,152;59,45;0,89;0,261;2,227;3,93;6;0,283;4,98;28;260;311;267;8,59;0;0,478;0,75;1,5
"17";"Venison/deer";"Venison/deer, cured";23321050;0;129,9;7,19;35,11;0,636;17,1;0;0,148;57,86;0,983;0,282;2,268;4,08;7;0,276;4,85;27;253;303;1199;8,36;0;0,465;0,73;1,5
"18";"Venison/deer";"Venison/deer, roasted";23321100;0;133,4;7,389;36,08;0,653;17,6;0;0,152;59,45;0,89;0,261;2,227;3,93;6;0,283;4,98;28;260;311;267;8,59;0;0,478;0,75;1,5
"19";"Venison/deer ribs";"Venison/deer ribs, cooked";23322350;0;133,4;7,389;36,08;0,653;17,6;0;0,152;59,45;0,89;0,261;2,227;3,93;6;0,283;4,98;28;260;311;267;8,59;0;0,478;0,75;1,5
"20";"Venison/deer";"Venison/deer, stewed";23322400;0;133,4;7,389;36,08;0,653;17,6;0;0,152;59,45;0,89;0,261;2,227;3,93;6;0,283;4,98;28;260;311;267;8,59;0;0,478;0,75;1,5
"21";"Bear";"Bear, cooked";23323500;0;121,8;3,336;32,28;0,817;11,2;0;0,1;53,33;5,636;2,39;3,525;13,33;5;0,147;10,68;23;169;262;233;10,23;0;0,289;0,49;1,8
"22";"Beaver";"Beaver, cooked";23334100;0;129,4;2,191;34,7;0,309;42,9;0;0,05;57,68;1,882;1,344;2,061;6,93;22;0,188;9,96;29;291;401;221;2,26;0;0,468;0,45;1,6
"23";"Kidney";"Kidney, cooked";25130000;0;508,9;3,887;27,04;2,945;166,6;0;0,159;66,33;0,952;1,129;1,427;4,61;19;0,559;5,75;12;301;134;416;2,82;0;0,388;0,08;0
"24";"Sweetbreads";"Sweetbreads, cooked";25140110;0;207,6;3,352;22,48;0,099;21,3;0;0,054;73,02;0,895;0,312;0,934;3,08;4;0,071;1,23;24;622;431;381;2,11;0;0,027;0,09;0
"25";"Tripe";"Tripe, cooked";25170110;0;203,3;0,828;12,6;0,067;13;0;0;82,59;1,6;0,188;1,348;3,85;72;0,073;0,62;14;67;70;441;1,48;0;0,008;0,09;0
"26";"Chitterlings";"Chitterlings, cooked";25170210;0;467,1;0,086;12,39;0,046;26,8;0;0,014;67,31;7,014;1,207;9,441;20,15;25;0,046;1,46;9;65;14;340;1,84;0;0;0,23;0
"27";"Hog maws";"Hog maws, cooked";25170310;0;306,6;1,757;26,52;0,174;49;0;0,052;56,97;5,651;1,404;6,336;15,96;17;0,2;0,95;10;143;99;565;2,62;0;0,024;0,06;0
"28";"Fish";"Fish, NS as to type, dried";26100170;0;291,3;7,5;62,82;0,24;147,8;0;0,268;16,14;0,342;0,804;0,462;2,37;160;0,176;2,5;133;950;1458;7027;1,59;42;0,864;2,84;0,4
"29";"Anchovy";"Anchovy, cooked, NS as to cooking method";26101110;0;85;19,903;28,89;0,363;68,1;0;0,078;50,3;3,77;2,562;2,203;9,71;232;0,339;4,63;69;252;544;3668;2,44;12;0,203;3,33;12,1
"30";"Anchovy";"Anchovy, canned";26101180;0;85;19,903;28,89;0,363;68,1;0;0,078;50,3;3,77;2,562;2,203;9,71;232;0,339;4,63;69;252;544;3668;2,44;12;0,203;3,33;12,1
"31";"Carp";"Carp, smoked";26105190;0;101,5;2,561;27,84;0,086;19,7;0;0,171;61,45;3,636;2,235;1,691;8,74;65;0,089;1,94;45;648;520;681;2,31;12;0,267;0,98;0,2
"32";"Cod";"Cod, dried, salted";26109170;0;291,3;7,5;62,82;0,24;147,8;0;0,268;16,14;0,342;0,804;0,462;2,37;160;0,176;2,5;133;950;1458;7027;1,59;42;0,864;2,84;0,4
"33";"Eel";"Eel, steamed or poached";26113160;0;81,7;3,741;23,19;0,045;8,2;0;0,151;59,26;9,041;1,191;2,965;14,66;26;0,029;0,63;23;244;291;380;2,04;1115;0,067;5,03;0
"34";"Eel";"Eel, smoked";26113190;0;101,3;5,454;28,73;0,062;10,1;0;0,222;49,38;11,203;1,476;3,674;18,17;32;0,036;0,78;31;337;424;532;2,52;1381;0,094;6,23;0
"35";"Flounder";"Flounder, smoked";26115190;0;157;2,386;29,98;0,046;64,3;0;0,048;62,87;1,292;0,903;1,065;4,66;51;0,046;0,44;43;609;386;196;0,77;22;0,213;1,52;0,2
"36";"Halibut";"Halibut, smoked";26118060;0;148,5;14,871;44,61;0,068;109,6;0;0,108;51,55;1,132;0,697;0,702;3,2;17;0,055;0,38;55;567;1046;628;0,86;43;1,185;1,47;0
"37";"Herring";"Herring, dried, salted";26119170;0;201,6;9,978;55,71;0,723;113,2;0;0,243;10,99;11,588;6,616;6,328;28,04;178;0,285;3,41;99;732;1014;1179;3,07;74;0,843;3,32;0,3
"38";"Salmon";"Salmon, dried";26137170;0;295,6;23,735;64,06;0,312;98,1;0;0,225;23,5;4,212;2,534;2,531;13,75;22;0,197;1,19;84;816;1144;234;1,22;98;1,718;1,25;1,2
"39";"Sardines";"Sardines, dried";26139170;0;166,6;8,248;46,06;0,598;93,6;0;0,224;28,32;9,58;5,47;5,23;23,18;148;0,236;2,82;82;606;838;230;2,54;72;0,696;2,74;0,2
"40";"Trout";"Trout, smoked";26151190;0;115,6;9,407;35,47;0,152;42;0;0,192;52,07;3,52;2,681;2,46;10,99;45;0,082;0,55;44;402;671;607;0,8;134;0,544;4,16;0,2
"41";"Tuna";"Tuna, fresh, raw";26153100;0;65;18,475;24,4;0,115;90,6;0;0,118;74,03;0,116;0,147;0,172;0,49;4;0,036;0,77;35;278;441;45;0,37;18;0,933;0,24;0,1
"42";"Tuna";"Tuna, fresh, steamed or poached";26153160;0;81,7;19,748;30,68;0,13;113,9;0;0,119;66,51;0,146;0,185;0,216;0,62;5;0,045;0,97;40;315;471;373;0,46;18;0,939;0,3;0,1
"43";"Tuna";"Tuna, fresh, dried";26153170;0;203,1;54,848;76,25;0,341;283,1;0;0,332;18,84;0,363;0,459;0,538;1,53;12;0,112;2,41;109;869;1378;141;1,16;51;2,624;0,75;0,3
"44";"Lobster";"Lobster, cooked, NS as to cooking method";26311110;0;80,4;1,818;18,88;0,017;72,6;0;0,023;77,6;0,251;0,338;0,207;0,85;96;1,54;0,29;43;184;229;737;4,02;1;0,118;0,99;0
"45";"Lobster";"Lobster, canned";26311180;0;80,9;1,83;19;0,017;73,1;0;0,023;78,11;0,253;0,34;0,208;0,86;96;1,55;0,29;43;185;230;486;4,05;1;0,119;1;0
"46";"Shrimp";"Shrimp, dried";26319170;0;204,8;1,413;51,7;0,038;120,3;0;0,018;38,86;0,273;1,732;0,476;3,44;367;0,663;5,39;84;494;203;2203;4,96;0;0,025;2,78;0
"47";"Butter";"Butter, tub";81101010;0;18,8;0,022;0,49;0,064;0;0,06;0,007;16,72;19,874;3,331;45,39;78,3;23;0,01;0,05;1;24;41;583;0,05;683;0,008;1,37;4,6
"48";"Butter";"Butter, light";81101520;0;12,9;0,02;3,3;0,07;1;0;0,01;42,1;15,927;2,046;34,321;55,1;48;0;1,09;5;34;71;450;0,26;465;0,01;1,58;4,8
"49";"Butter-oil blend";"Butter-oil blend, NFS";81104490;0;18,8;0,022;0,49;0,064;0;0,06;0,007;16,72;19,874;3,331;45,39;78,3;23;0,01;0,05;1;24;41;583;0,05;683;0,008;1,37;4,6
"50";"Butter-oil blend";"Butter-oil blend, tub";81104510;0;18,8;0,022;0,49;0,064;0;0,06;0,007;16,72;19,874;3,331;45,39;78,3;23;0,01;0,05;1;24;41;583;0,05;683;0,008;1,37;4,6
"51";"Butter-oil blend";"Butter-oil blend, light";81104550;0;12,9;0,02;3,3;0,07;1;0;0,01;42,1;15,927;2,046;34,321;55,1;48;0;1,09;5;34;71;450;0,26;465;0,01;1,58;4,8
"52";"Animal fat or drippings";"Animal fat or drippings";81201000;0;53,2;0,32;2,23;0,01;1,8;0;0,006;3,91;41,249;10,052;35,58;92,18;5;0,008;0,23;1;13;21;604;0,34;0;0,029;0,64;0,6
"53";"Lard";"Lard";81202000;0;49,7;0;0;0;0,2;0;0;0;45,1;11,2;39,2;100;0;0;0;0;0;0;0;0,11;0;0;0,6;0
"54";"Shortening";"Shortening, NS as to vegetable or animal";81203000;0;0,2;0;0;0;0;0;0,02;0;41,186;28,097;24,98;99,97;1;0;0,07;0;0;0;4;0;0;0,001;6,13;53,2
"55";"Ghee";"Ghee, clarified butter";81204000;0;22,3;0,003;0,28;0,005;0;0;0,001;0,24;28,732;3,694;61,924;99,48;4;0,001;0;0;3;5;2;0,01;840;0,001;2,8;8,6
"56";"Vegetable oil";"Vegetable oil, NFS";82101000;0;0,2;0;0;0;0;0;0;0;41,881;41,19;13,677;100;0;0;0,16;0;0;0;0;0;0;0;11,73;117,9
"57";"Almond oil";"Almond oil";82101300;0;0,4;0;0;0;0;0;0;0;69,9;17,4;8,2;100;0;0;0;0;0;0;0;0;0;0;39,2;7
"58";"Corn oil";"Corn oil";82102000;0;0,2;0;0;0;0;0;0;0;27,576;54,677;12,948;100;0;0;0;0;0;0;0;0;0;0;14,3;1,9
"59";"Cottonseed oil";"Cottonseed oil";82103000;0;0,2;0;0;0;0;0;0;0;17,8;51,9;25,9;100;0;0;0;0;0;0;0;0;0;0;35,3;24,7
"60";"Flaxseed oil";"Flaxseed oil";82103500;0;0,2;0;0,11;0;0;0;0;0,12;18,438;67,849;8,976;99,98;1;0;0;0;1;0;0;0,07;0;0;0,47;9,3
"61";"Olive oil";"Olive oil";82104000;0;0,3;0;0;0;0;0;0;0;72,961;10,523;13,808;100;1;0;0,56;0;0;1;2;0;0;0;14,35;60,2
"62";"Peanut oil";"Peanut oil";82105000;0;0,1;0;0;0;0;0;0;0;46,2;32;16,9;100;0;0;0,03;0;0;0;0;0,01;0;0;15,69;0,7
"63";"Canola oil";"Canola oil";82105500;0;0,2;0;0;0;0;0;0;0;63,276;28,142;7,365;100;0;0;0;0;0;0;0;0;0;0;17,46;71,3
"64";"Safflower oil";"Safflower oil";82106000;0;0,2;0;0;0;0;0;0;0;75,221;12,82;7,541;100;0;0;0;0;0;0;0;0;0;0;34,1;7,1
"65";"Sesame oil";"Sesame oil";82107000;0;0,2;0;0;0;0;0;0;0;39,7;41,7;14,2;100;0;0;0;0;0;0;0;0;0;0;1,4;13,6
"66";"Soybean oil";"Soybean oil";82108000;0;0,2;0;0;0;0;0;0;0;22,783;57,74;15,65;100;0;0;0,05;0;0;0;0;0,01;0;0;8,18;183,9
"67";"Sunflower oil";"Sunflower oil";82108500;0;0,2;0;0;0;0;0;0;0;19,5;65,7;10,3;100;0;0;0;0;0;0;0;0;0;0;41,08;5,4
"68";"Walnut oil";"Walnut oil";82108700;0;0,4;0;0;0;0;0;0;0;22,8;63,3;9,1;100;0;0;0;0;0;0;0;0;0;0;0,4;15
"69";"Wheat germ oil";"Wheat germ oil";82109000;0;20;0;0;0;0;0;0;0;15,1;61,7;18,8;100;0;0;0;0;0;0;0;0;0;0;149,4;24,7
"70";"Mayonnaise";"Mayonnaise, reduced fat,  with olive oil";83204030;0;9;0,01;0,37;0;2,3;0;0,008;57,58;29,542;4,006;5,37;40;0;0,019;0;2;15;31;800;0,07;8;0,002;2,19;53,7
"71";"Industrial oil as ingredient in food";"Industrial oil as ingredient in food";99998210;0;0,2;0;0;0;0;0;0;0;31,097;31,812;32,672;100;0;0;0,04;0;0;0;0;0,01;0;0;10,5;155,8
"72";"Lobster with butter sauce";"Lobster with butter sauce";27150070;0,01;74,1;1,634;17;0,019;65,2;0,01;0,021;71,3;2,535;0,637;5,83;9,68;88;1,38;0,26;38;167;207;503;3,62;76;0,106;1,14;0,8
"73";"Butter";"Butter, NFS";81100500;0,06;18,8;0,042;0,85;0,034;1;0,06;0,005;16,17;21,021;3,043;51,368;81,11;24;0;0,02;2;24;24;643;0,09;684;0,003;2,32;7
"74";"Butter";"Butter, stick";81101000;0,06;18,8;0,042;0,85;0,034;1;0,06;0,005;16,17;21,021;3,043;51,368;81,11;24;0;0,02;2;24;24;643;0,09;684;0,003;2,32;7
